input,reference_sentence,predicted_label
Twelve killed in bomb blast on Pakistani train,Gunmen kill nine in southwest Pakistan: Police,UN playing in Afghanistan
Powerful quake strikes off eastern Indonesia,6.6-mag quake strikes off eastern Indonesia,C: Iraq kills's attack for the ocean
Obama lashes North Korea as pariah state,Obama lashes North Korea as weak ‚Äėpariah state‚Äô,Obama as dead in Afghanistan
Colombia strike three times,Colombia too slick for Greece,"Israel dies says,000 at the day's in Syria"
Lord Palumbo offers hope for a relationship with his son James,Oscar Pistorius sent for mental evaluation: what will it mean?,North Korea president
Deputy speaker faces new sex claims,Deputy Speaker Nigel Evans Re-Arrested,Stan in fresh attacks
CIA chief visits Israel for Syria talks,CIA chief in Israel to discuss situation in Syria,M is riding of the world from have’
"Suicide bomb kills 4, injures 13 in Pakistan",Twitter blocks content in Pakistan,Suicide bomber kills in Russian strike
Ukraine rebels 'flee eastern stronghold',Ukraine Claims Rebels Flushed from Main Stronghold,Police stocks to decide to $ presidential
4 foreigners among 9 killed in Kabul hotel attack,Foreigners among dead in Kabul hotel attack,M in eastern killed in Afghanistan
Firefighters battle forest fire in SW China,Firefighters battling scrub fire in Hokianga,"Russia New in new Korea, 90 clash"
Hassan Rouhani wins Iran's presidential election,Maduro wins Venezuelan presidential vote,Pakistan at Russian for dead in Afghanistan
Woman remanded over child's death A woman has been remanded in custody charged with murder after an eight-year-old girl was found dead in a block of flats.,Mother held over daughter's death A mother has been remanded in custody charged with murder after her eight-year-old daughter was found dead in a block of flats.,He was after the investigation in June.
Red-shirt leader calls not to oppose army,Oil rig spat: Beijing not to send army,A white is running through the water.
Russia praises idea to render rights assistance to Ukraine,Russia detains suspected Islamist militants in Moscow raid,Russia against kill to�Ä talks
Georgian PM's ally to become president - exit poll,Ally of Georgia's billionaire PM to be president -exit polls,China yuania�; to 6: eastern
Car bombs kill at least 16 in Iraqi capital,Car bombs kill at least 47 in Baghdad area,Police killed in Pakistan in Afghanistan
Saudi Arabia gets a seat at the UN Security Council,Saudi Arabia rejects seat on UN Security Council,Two people on a table?
US drone strike kills 11 in Pakistan,US drone kills 16 in Pakistan,US toll in Yemen
20 killed in bomb attack at Pakistani base,8 soldiers killed in bomb attack in NW Pakistan,"Israel killed in a blue, in the water"
Shenzhen stock indices close higher Monday,Shenzhen stock indices close lower -- Oct. 31,US stocks in Afghanistan
Prince Harry pays tribute to US war dead,US presidents pay tribute to Mandela,Mal and women are running on film on war
"15 dead in Iraq attacks, bomb at football pitch",46 dead in Iraq attack blitz,India: India of people sworn: killed in
Myanmar arrests 44 over sectarian violence,Ban Warns Syria Strikes Could Worsen Sectarian Violence,India: 'ils Muslim dead found
Iran official: US visa denial to Iranian envoy will not affect nuke talks,Iranian negotiator upbeat about latest nuclear talks,Iran as Syrian to world ban Monday
"Gov'ts, groups pledge millions for typhoon relief",Canada promises $5-million in typhoon relief,Northel talks was visit for Ukraine
Greece suspends state broadcaster,Greece to close state broadcaster to save money,T with the New day of the water.
Guatemalan court finds former dictator guilty of genocide,Guatemala's former leader found guilty of genocide,H of using: US officials
Beaten Florida teen released in Israel,Palestinian teen dies of wounds sustained in Israeli shooting,B killed in a newmonster in Pakistan
"Iran, sextet to resume expert talks",Iran upbeat on 'useful' expert-level nuke talks,"Iran, I to 6.S."
"Bangladesh collapse search over; death toll 1,127",Bangladesh collapse deaths top 620,Caradesh factory-old death: Iraq
Neymar powers Brazil into last 16,Neymar powers Brazil into World Cup last 16,N of Israel's chemical chemical?
Ukraine to implement unilateral ceasefire,Ukraine offers unilateral ceasefire,Syriania says
Stones add second Hyde Park concert,Rolling Stones add second Hyde Park date,Japan to meet ' presidential: India's presidential as
"What the Papers Say, Aug. 19, 2013","What the Papers Say, Dec. 30, 2013",The white blue the world one.
5 nations meet on haze,Putin's marriage at an end,Indian police election deal.
"Car bomb at Swedish consulate in Libya's Benghazi, no casualties","Car Bomb Hits Swedish Consulate in Benghazi, None Hurt",Death death wounded ' strike kills attack
Bomber strikes near Pakistan army HQ,Bombing Outside Restaurant in Pakistan Wounds 15,12ers U near for you protest
Croatia begins countdown to historic EU entry,Croatia countdowns to joining EU,Israel to meet' for historic in China
Suicide attack kills eight in Baghdad,Suicide attacks kill 24 people in Baghdad,Suicide blast in Afghan killed in Russian
On War Criminals and Heroes: The Whitewashing of Ariel Sharon ŔÄ,On war criminals and heroes: The whitewashing of Ariel Sharon,Palestinian' military forces and Palestinian to 6 said
"Rogers, Videotron extend reach with network-sharing deal","Rogers, Videotron reach network-sharing, spectrum deal","2,000 2"
Prominent AIDS researchers killed in Malaysian plane crash,Top AIDS Researcher Killed in Malaysia Plane Crash,Indian killed in northwest kill in Afghan' in Afghan
Israel Forces Kill 2 Palestinian Militants,Israeli army kills Palestinian militant in raid,Israel ' dead as Mandela of cancer
Death toll 'rises to 17' after typhoon strikes Japan,Death Toll Rises to 84 in Pakistan Floods,Egypt:: US Mandela for drug Mandela
Protests continue in tense Ukraine capital,Protests Continue In Ukraine's Capital,"Russia, I militants"
Two French journalists killed after Mali kidnapping,"Two French journalists abducted, killed in Northern Mali",Two women dead in Egypt to 6
Headlines in major Iranian newspapers on Dec 14,Headlines in major Iranian newspapers on July 29,USlines in Iraq in new factory crash
Iran warns of spillover of possible war on Syria,"Iranian Delegation Heads to Lebanon, Syria",Iran first with many for new rises
Former Pakistan President Pervez Musharraf arrested again,Former Pakistan military ruler Pervez Musharraf granted bail,China's Russian 12 chemical weapons
US drone strike 'kills 4 militants in Pakistan',US drone strike kills 10 in Pakistan,US in Moscow killed in Afghanistan
UK's Ex-Premier Margaret Thatcher Dies At 87,Former British PM Margaret Thatcher dies,U of mass
Polar bear DNA 'may help fight obesity',Polar bear study may boost fight against obesity,T of protesters's ' clash over Syrian
'Fast &amp; Furious' star Paul Walker dies in car crash,"Paul Walker dead: Fast and Furious star, 40, killed in car crash",Eight ' Bank to peace crash?
Air strike kills one man in Syria's Hama,US drone strike kills eleven in Pakistan,Gun' at least in'
"Turkish PM, president clash over reply to protests",Turkish president calls for calm amid nationwide protests,US condemns to Syrian killed in Egypt
Strong new quake hits shattered Pak region,6.8 quake in shattered Pakistan region,Obama to belines to $ Syrian crash
Floods in central Europe continue to create havoc,Europe floods continue to create havoc,Singapore dead after to prepare
Luxembourg PM quits amid spying scandal,Luxembourg votes after spying row,Man missiles kills in China
"3 dead, 4 missing in central China construction accident","One dead, 8 missing in Vietnam boat accident","Ukrainei: Palestinian, 90"
"US, China fail to paper over cracks in ties",China: Relief in focus as hope for missing fades,US rises to 5-on'
World Cup live: France 0-0 Germany,World Cup live: Germany 0-0 Ghana,Trop no for a red-Read
Tokyo to host 2020 Games,Tokyo wins race to host 2020 Olympic Games,Police to fight to to be to Russia
France warns of extremists benefiting from Egypt violence,France fears extremists will benefit from Egypt violence,Snow killed in Syrian strike
British teenager killed in fall from Magaluf hotel,British teenager killed in Magaluf hotel fall,S in Pakistan
US drone strike kills eight in Waziristan,US drone strike kills 11 in Pakistan,China in strike kills strike in Syria
Russian opposition leader under house arrest,Russian Opposition Leader Placed Under House Arrest,"Two dogs and singingast and white dog, by brown in the grass"
Senate confirms Janet Yellen as chair of US Federal Reserve,Senate confirms Janet Yellen as next Federal Reserve Chair,"Three dead as dead, as Indian after: strike"
Israel confirms strike on Syria targeted weapons,Israel officials: Strike on Syria targeted weapons,Israel:: Obama at new dead.
