input,reference_sentence,predicted_label
Mars rover collects first bedrock sample,Wawrinka reaches first grand slam final,W as US drone town
Ankeet Chavan granted conditional bail for marriage,Ankeet Chavan granted bail to get married,A cruise and white's Morsi in it would another
Man who battled Fukushima disaster dies of cancer,Former plant chief who battled Fukushima disaster dies of cancer,South visitss 'Pop' for Russia
Iran says nuclear talks to resume next month,Iran says capable of jamming foes' communication systems,Iran's nuclear talks in Syria chemical Syria
US authorities charge man in ricin probe,South African police arrest 50 in farm protest,Stocks to meet in Syria chemical weapons
25 bodies found at raided Algerian gas plant,25 more bodies found at Algerian gas plant,Somens to Whitney win
Ferrer cruises into Australian Open quarter-finals,Ferrer beats Nishikori to advance to Australian Open quarterfinals,New hits shattered missing 'H as anti-Morsi
UBS settles US mortgage lawsuit,UBS settles US mortgage lawsuit and takes £600m charge,More Syrian suspects US: opposition Indonesia
"North, South Korea agree to talks","North, South Korea hold rare talks",North Korea not the world's nuclear deal
Gunmen kill female politician in Pakistan,Gunmen kill 5 female teachers in Pakistan,Gunmen kill at Iraq
Kardashian Divorce Ready for Trial,Hard-hit hotels ready for price war,Kerry' 'peace police arrested for Syria
New Zealand set to legalise gay marriage,New Zealand votes to legalise same-sex marriage,British to decide on Friday
"Syria regime claims evacuation of 5,000 near Damascus",Syria army continues mop-up operations near Damascus,Ukraine protesters topple Lenin Syria rebels
Nobel Prize winning author Doris Lessing dies,Nobel laureate Doris Lessing dies at 94,Nob two: Image
"Internet, phone service restored in Syrian capital",Internet service resumes in Syria,"Egypt killed, explosions at Russian, 11 crash"
Syrian PM Survives Bomb Attack,Syrian PM survives bomb attack in capital,Syrian rebels to meet's Russia in Syria
US stock futures edge up ahead of jobs report,"Stock futures edge higher, all eyes on Fed",US soldier: Obama to Attend Syrian refugees
Bomb blast kills 10 in southwest Pakistan,Major quake kills 39 in Pakistan,Bomb Kills your in as clashes
David Cameron puts Sri Lanka on notice over war crime allegations,Sri Lanka warned over war crime allegations,David Beckham close higher
Morsi supporters clash with riot police in Cairo,Protesters clash with riot police in Kiev,Morsi in Pakistan
Afghan police kill 5 Taliban fighters,"5 Taliban, 5 Afghan police killed in ambushes",Afghan says open as it in Afghanistan
Gunmen kidnap airline pilots in Lebanon,Gunmen kidnap 2 Turkish Airlines pilots in Lebanon,Gunmen kill in Pakistan
Kurdish rebels to withdraw from Turkey in March: report,Kurdish rebels to withdraw from Turkey,Kerry hit' to reopen peace talks
Japan revises GDP growth to annual 1.1 pct in Q3,Japan’s GDP growth downgraded to annual 1.1%,4 down $7 billion.S.S.S.46's first week.6 million in focus against $3 increased in 6.
The foundations of South Africa are built on Nelson Mandela's memory,Australian politicians lament over Nelson Mandela's death,"Pakistan of Discos agrees, 2013"
"Ukraine protest leaders name ministers, Russian troops on alert",Ukraine Refuses to Act Against Russian 'Provocation',Ukraine's Congress on hopes on third
"Malala, Snowden, Belarusians Short-Listed For Sakharov Prize",Fugitive Snowden short-listed for European rights prize,"Malays-month, it.C,000-member, we cents, up, ha, or 1."
ElBaradei to Become Egyptian PM,"Liberal ElBaradei named Egypt PM, Islamists cry foul",Pakistan in Beirut protesters protesters
Taiwan's economy grows 2.27% in April-June quarter,China's economic growth rebounds to 7.8% in latest quarter,Gl tax-year-quarter-magnitude
Tamerlan Tsarnaev buried in Virginia,Boston bomb suspect buried in Virginia cemetery,Tens 'w in Spain
"State Dept. issues wide travel alert, says terror attack possible","US issues global travel alert, cites al-Qaida threat",No to be a single're on top of drug by Lone notassi
Singapore stocks end up 0.11 pct,Singapore stocks end down 0.45%,Singapore stocks close 0.19 down 0.
Russia warns Ukraine against EU deal,Rebels down Ukraine helicopters,"Russia hospital: G mourn as "" military action"
Hernandez double gives Mexico victory,Hernandez double gives Mexico victory over Japan,Hamas's Nelson fire tear?
China sacks top economic official,China FM hosts senior ASEAN officials,China launches close lower against investors 'ised against Syria
Canada approves oil pipeline to the Pacific Coast,Canadian government approves controversial oil pipeline to Pacific,Black two work to elect to be two for the UK
Storm buries Northeast; 16 inches of snow in NJ,"Forum urges stable relations for China, Japan",Ten kill 6 election president in southern Sinai
Jamaican connection in Liverpool's win,Japan Election: Shinzo Abe Hails Landslide Win,Ukraine protesters says as a single in new law
"International weapons experts leave Syria, Obama to make statement","Weapons experts leave Syria, U.S. prepares attack",Syrian major's presidential killing to be chemical weapons
Southwest jet hit nose first,Southwest Jet's Nose Gear Landed First,"South Africa,000, China in hospital"
Twelve killed in bomb blast on Pakistani train,Gunmen kill nine in southwest Pakistan: Police,Five killed in southern killed in Afghanistan
Powerful quake strikes off eastern Indonesia,6.6-mag quake strikes off eastern Indonesia,"NATO cows, 6 day"
Obama lashes North Korea as pariah state,Obama lashes North Korea as weak ‚Äėpariah state‚Äô,Obama urges military action against Syria's Mush
Colombia strike three times,Colombia too slick for Greece,"P journalist threat to 1, Obama"
Lord Palumbo offers hope for a relationship with his son James,Oscar Pistorius sent for mental evaluation: what will it mean?,Egypt's former J armed a law
Deputy speaker faces new sex claims,Deputy Speaker Nigel Evans Re-Arrested,NATO military kills meets.
CIA chief visits Israel for Syria talks,CIA chief in Israel to discuss situation in Syria,Russian urges for Russia for cycl at mosque at Russian
"Suicide bomb kills 4, injures 13 in Pakistan",Twitter blocks content in Pakistan,Suicide bomber kills 15 in Pakistan
Ukraine rebels 'flee eastern stronghold',Ukraine Claims Rebels Flushed from Main Stronghold,Ukraine protesters oppositionens on Friday
4 foreigners among 9 killed in Kabul hotel attack,Foreigners among dead in Kabul hotel attack,"British, world in Pakistan injured in northern capital"
Firefighters battle forest fire in SW China,Firefighters battling scrub fire in Hokianga,"Iran, E: Syria strike at finish"
Hassan Rouhani wins Iran's presidential election,Maduro wins Venezuelan presidential vote,Hamas: Patriot over Syria rebels
Woman remanded over child's death A woman has been remanded in custody charged with murder after an eight-year-old girl was found dead in a block of flats.,Mother held over daughter's death A mother has been remanded in custody charged with murder after her eight-year-old daughter was found dead in a block of flats.,"C-specificanmar, world's oldest-chip of a larger in France, said."
Red-shirt leader calls not to oppose army,Oil rig spat: Beijing not to send army,Red Sox to be fair in chemical weapons
Russia praises idea to render rights assistance to Ukraine,Russia detains suspected Islamist militants in Moscow raid,Russia army to attend visit to Syrian refugees
Georgian PM's ally to become president - exit poll,Ally of Georgia's billionaire PM to be president -exit polls,Dozens to be to decide on Ukraine
Car bombs kill at least 16 in Iraqi capital,Car bombs kill at least 47 in Baghdad area,Syrian bomb attack in northern kill police
Saudi Arabia gets a seat at the UN Security Council,Saudi Arabia rejects seat on UN Security Council,Saudi Fire of a brown dog jumps over arming of the floor
